date,n1,n2,n3,n4,n5
2026-01-29115000025,06,11,28,36,37
2026-01-28115000024,10,11,23,24,29
2026-01-27115000023,05,17,18,23,32
2026-01-26115000022,06,15,23,26,30
2026-01-24115000021,06,07,15,35,37
2026-01-23115000020,03,11,12,21,31
2026-01-22115000019,03,06,11,30,34
2026-01-21115000018,04,15,23,27,38
2026-01-20115000017,16,19,23,25,34
2026-01-19115000016,12,16,23,24,29
2026-01-17115000015,02,10,11,24,37
2026-01-16115000014,18,19,22,27,29
2026-01-15115000013,01,02,03,19,36
2026-01-14115000012,01,02,16,33,35
2026-01-13115000011,06,16,17,19,31
2026-01-12115000010,03,13,18,24,30
2026-01-10115000009,11,25,26,34,38
2026-01-09115000008,01,12,14,22,34
2026-01-08115000007,03,08,10,21,30
2026-01-07115000006,05,10,14,15,28
2026-01-06115000005,01,02,06,11,33
2026-01-05115000004,10,16,18,34,39
2026-01-03115000003,22,23,31,32,38
2026-01-02115000002,17,18,25,36,39
2026-01-01115000001,15,16,18,29,36
2025-12-31114000316,08,10,11,26,35
2025-12-30114000315,11,12,24,27,33
2025-12-29114000314,05,10,13,29,37
2025-12-27114000313,01,15,19,28,38
2025-12-26114000312,01,10,20,27,36
2025-12-25114000311,14,18,28,36,39
2025-12-24114000310,02,03,14,25,30
2025-12-23114000309,09,22,24,30,35
2025-12-22114000308,02,22,24,27,38
2025-12-20114000307,01,05,16,35,38
2025-12-19114000306,12,16,23,27,30
2025-12-18114000305,04,09,32,33,36
2025-12-17114000304,05,06,07,19,32
2025-12-16114000303,02,10,14,33,35
2025-12-15114000302,03,17,27,29,38
2025-12-13114000301,02,09,21,31,38
2025-12-12114000300,10,24,26,28,35
2025-12-11114000299,02,06,17,25,26
2025-12-10114000298,04,07,11,16,26
2025-12-09114000297,07,08,15,30,39
2025-12-08114000296,05,23,27,28,31
2025-12-06114000295,06,22,23,24,32
2025-12-05114000294,02,03,16,17,29
2025-12-04114000293,01,07,20,25,37
2025-12-03114000292,05,09,14,33,35
2025-12-02114000291,02,05,08,13,29
2025-12-01114000290,02,03,04,20,24
2025-11-29114000289,08,27,30,33,36
2025-11-28114000288,08,13,14,22,28
2025-11-27114000287,07,19,22,25,28
2025-11-26114000286,07,13,26,28,34
2025-11-25114000285,09,30,36,38,39
2025-11-24114000284,02,04,05,17,31
2025-11-22114000283,10,13,32,33,37
2025-11-21114000282,05,10,17,28,35
2025-11-20114000281,01,05,33,36,38
2025-11-19114000280,03,11,20,28,31
2025-11-18114000279,14,24,31,36,37
2025-11-17114000278,04,07,16,26,29
2025-11-15114000277,12,20,25,28,29
2025-11-14114000276,02,11,15,37,38
2025-11-13114000275,13,18,20,23,36
2025-11-12114000274,01,04,09,14,22
2025-11-11114000273,05,19,31,34,39
2025-11-10114000272,07,14,15,17,30
2025-11-08114000271,07,08,09,26,34
2025-11-07114000270,22,27,30,32,37
2025-11-06114000269,07,24,28,31,32
2025-11-05114000268,11,14,15,27,39
2025-11-04114000267,01,07,12,29,39
2025-11-03114000266,24,25,34,36,37
2025-11-01114000265,08,12,19,27,28
2025-10-31114000264,11,18,25,26,33
2025-10-30114000263,05,27,28,31,37
2025-10-29114000262,26,32,33,36,39
2025-10-28114000261,18,20,25,29,31
2025-10-27114000260,03,20,26,31,37
2025-10-25114000259,03,04,11,21,34
2025-10-24114000258,08,11,13,37,38
2025-10-23114000257,08,15,27,37,38
2025-10-22114000256,03,04,20,25,28
2025-10-21114000255,13,22,30,37,38
2025-10-20114000254,06,13,22,23,27
2025-10-18114000253,02,17,32,35,38
2025-10-17114000252,01,21,31,32,34
2025-10-16114000251,04,18,21,30,37
2025-10-15114000250,04,07,19,33,39
2025-10-14114000249,04,05,09,18,24
2025-10-13114000248,08,13,14,22,36
2025-10-11114000247,04,09,19,22,34
2025-10-10114000246,03,06,24,31,36
2025-10-09114000245,02,04,12,15,29
2025-10-08114000244,03,09,26,38,39
2025-10-07114000243,01,16,20,28,34
2025-10-06114000242,03,05,06,12,13
2025-10-04114000241,03,04,10,18,39
2025-10-03114000240,10,16,19,21,28
2025-10-02114000239,10,19,25,36,39
2025-10-01114000238,03,05,12,22,27
2025-09-30114000237,14,20,21,28,33
2025-09-29114000236,03,15,21,29,37
2025-09-27114000235,03,11,13,28,37
2025-09-26114000234,03,07,14,25,34
2025-09-25114000233,02,10,13,28,32
2025-09-24114000232,04,22,23,35,39
2025-09-23114000231,06,19,20,33,37
2025-09-22114000230,07,09,12,14,33
2025-09-20114000229,05,08,11,13,22
2025-09-19114000228,02,11,22,24,31
2025-09-18114000227,05,12,14,23,33
2025-09-17114000226,04,06,07,12,38
2025-09-16114000225,02,09,19,21,33
2025-09-15114000224,07,09,10,12,28
2025-09-13114000223,02,25,32,35,36
2025-09-12114000222,09,12,16,26,34
2025-09-11114000221,06,18,26,28,36
2025-09-10114000220,12,14,16,28,39
2025-09-09114000219,08,20,23,25,26
2025-09-08114000218,07,11,20,28,38
2025-09-06114000217,08,14,25,28,31
2025-09-05114000216,07,09,29,32,38
2025-09-04114000215,06,07,24,27,34
2025-09-03114000214,14,15,20,21,23
2025-09-02114000213,05,08,10,23,25
2025-09-01114000212,21,24,28,29,35
2025-08-30114000211,04,05,07,13,14
2025-08-29114000210,07,20,21,30,38
2025-08-28114000209,05,07,21,23,29
2025-08-27114000208,03,05,28,30,32
2025-08-26114000207,02,05,24,38,39
2025-08-25114000206,06,12,15,23,26
2025-08-23114000205,04,05,08,27,39
2025-08-22114000204,06,07,21,37,38
2025-08-21114000203,16,27,28,29,33
2025-08-20114000202,15,18,29,31,39
2025-08-19114000201,06,07,18,31,35
2025-08-18114000200,09,12,18,27,29
2025-08-16114000199,15,18,22,24,31
2025-08-15114000198,01,05,16,18,26
2025-08-14114000197,10,12,14,31,35
2025-08-13114000196,11,23,26,32,34
2025-08-12114000195,01,09,17,25,30
2025-08-11114000194,01,14,22,26,28
2025-08-09114000193,01,09,27,29,30
2025-08-08114000192,11,25,27,30,34
2025-08-07114000191,10,20,28,30,37
2025-08-06114000190,06,10,24,28,38
2025-08-05114000189,13,20,21,32,37
2025-08-04114000188,03,21,23,25,26
2025-08-02114000187,03,14,22,25,31
2025-08-01114000186,02,13,18,33,34
2025-07-31114000185,11,12,17,34,36
2025-07-30114000184,17,22,24,30,32
2025-07-29114000183,01,06,10,13,27
2025-07-28114000182,04,16,22,23,30
2025-07-26114000181,14,15,18,23,29
2025-07-25114000180,05,07,10,26,30
2025-07-24114000179,02,06,09,29,32
2025-07-23114000178,16,18,23,36,39
2025-07-22114000177,19,21,27,32,39
2025-07-21114000176,01,06,11,22,34
2025-07-19114000175,07,11,14,26,27
2025-07-18114000174,12,21,22,38,39
2025-07-17114000173,04,06,11,29,37
2025-07-16114000172,15,18,24,31,32
2025-07-15114000171,09,16,21,22,38
2025-07-14114000170,08,11,12,29,36
2025-07-12114000169,03,19,20,21,26
2025-07-11114000168,09,26,37,38,39
2025-07-10114000167,02,03,04,34,36
2025-07-09114000166,13,18,27,28,37
2025-07-08114000165,03,04,24,27,33
2025-07-07114000164,14,25,27,35,38
2025-07-05114000163,08,14,22,24,35
2025-07-04114000162,05,24,31,36,39
2025-07-03114000161,10,21,22,26,27
2025-07-02114000160,06,13,21,24,38
2025-07-01114000159,06,08,11,19,38
2025-06-30114000158,07,08,11,23,31
2025-06-28114000157,12,22,29,33,34
2025-06-27114000156,03,04,10,19,37
2025-06-26114000155,01,06,13,24,29
2025-06-25114000154,02,11,28,30,37
2025-06-24114000153,01,10,12,20,31
2025-06-23114000152,03,14,22,31,38
2025-06-21114000151,03,08,15,24,39
2025-06-20114000150,02,05,08,17,24
2025-06-19114000149,12,14,15,17,24
2025-06-18114000148,07,12,23,26,36
2025-06-17114000147,02,12,14,26,37
2025-06-16114000146,06,08,09,33,36
2025-06-14114000145,02,15,17,23,37
2025-06-13114000144,04,05,10,12,38
2025-06-12114000143,11,14,15,19,32
2025-06-11114000142,04,17,19,21,31
2025-06-10114000141,07,12,16,29,38
2025-06-09114000140,08,20,27,29,30
2025-06-07114000139,04,16,22,23,32
2025-06-06114000138,02,12,14,25,30
2025-06-05114000137,07,14,19,35,39
2025-06-04114000136,20,30,33,36,38
2025-06-03114000135,07,20,21,25,34
2025-06-02114000134,02,07,11,16,21
2025-05-31114000133,14,18,20,29,35
2025-05-30114000132,14,20,21,34,35
2025-05-29114000131,04,18,28,30,31
2025-05-28114000130,09,13,15,24,33
2025-05-27114000129,04,08,23,33,38
2025-05-26114000128,08,15,21,24,34
2025-05-24114000127,14,18,29,35,36
2025-05-23114000126,13,16,24,27,32
2025-05-22114000125,01,08,17,21,35
2025-05-21114000124,10,16,31,34,38
2025-05-20114000123,10,22,23,26,38
2025-05-19114000122,04,07,14,25,35
2025-05-17114000121,03,09,24,30,39
2025-05-16114000120,02,13,24,27,39
2025-05-15114000119,02,04,15,25,36
2025-05-14114000118,01,14,18,24,38
2025-05-13114000117,04,10,20,23,29
2025-05-12114000116,08,10,26,27,38
2025-05-10114000115,06,09,20,27,36
2025-05-09114000114,04,11,19,21,34
2025-05-08114000113,07,10,26,28,33
2025-05-07114000112,07,09,21,28,38
2025-05-06114000111,06,11,18,37,39
2025-05-05114000110,04,05,08,10,11
2025-05-03114000109,01,10,19,27,31
2025-05-02114000108,05,12,20,24,28
2025-05-01114000107,08,19,25,27,39
2025-04-30114000106,22,26,30,31,38
2025-04-29114000105,01,07,13,18,35
2025-04-28114000104,06,12,17,38,39
2025-04-26114000103,20,23,32,35,38
2025-04-25114000102,01,05,24,33,36
2025-04-24114000101,04,06,25,29,35
2025-04-23114000100,01,16,19,27,33
2025-04-22114000099,08,19,23,27,31
2025-04-21114000098,02,06,12,14,24
2025-04-19114000097,14,19,21,26,36
2025-04-18114000096,07,24,28,31,36
2025-04-17114000095,03,06,23,24,37
2025-04-16114000094,07,22,25,29,38
2025-04-15114000093,02,03,16,27,39
2025-04-14114000092,09,10,22,30,33
2025-04-12114000091,09,11,15,25,31
2025-04-11114000090,15,17,26,27,35
2025-04-10114000089,14,19,22,26,28
2025-04-09114000088,04,06,14,24,35
2025-04-08114000087,06,17,18,19,32
2025-04-07114000086,01,06,19,26,33
2025-04-05114000085,12,13,14,15,24
2025-04-04114000084,03,06,07,36,38
2025-04-03114000083,05,16,23,31,39
2025-04-02114000082,04,08,29,32,34
2025-04-01114000081,05,13,17,19,31
2025-03-31114000080,07,10,13,23,26
2025-03-29114000079,04,09,12,17,27
2025-03-28114000078,13,24,25,36,39
2025-03-27114000077,05,25,33,36,37
2025-03-26114000076,01,10,12,32,35
2025-03-25114000075,04,20,24,27,38
2025-03-24114000074,07,25,32,34,35
2025-03-22114000073,05,13,16,24,28
2025-03-21114000072,05,09,15,20,26
2025-03-20114000071,02,16,17,27,32
2025-03-19114000070,11,15,25,29,34
2025-03-18114000069,03,13,15,19,25
2025-03-17114000068,07,11,13,26,30
2025-03-15114000067,08,15,25,26,34
2025-03-14114000066,06,08,18,19,28
2025-03-13114000065,03,04,07,11,30
2025-03-12114000064,06,14,27,30,33
2025-03-11114000063,02,21,24,27,31
2025-03-10114000062,02,04,07,25,37
2025-03-08114000061,17,23,24,27,35
2025-03-07114000060,09,10,19,33,35
2025-03-06114000059,08,12,15,18,34
2025-03-05114000058,15,23,29,36,39
2025-03-04114000057,11,18,21,23,36
2025-03-03114000056,08,09,12,22,27
2025-03-01114000055,04,16,29,31,34
2025-02-28114000054,05,27,31,38,39
2025-02-27114000053,11,12,20,28,29
2025-02-26114000052,03,11,24,27,36
2025-02-25114000051,05,11,26,33,35
2025-02-24114000050,08,17,18,24,36
2025-02-22114000049,04,07,11,19,22
2025-02-21114000048,11,13,18,30,35
2025-02-20114000047,03,07,17,24,27
2025-02-19114000046,03,27,28,33,38
2025-02-18114000045,10,12,13,19,33
2025-02-17114000044,09,15,29,30,39
2025-02-15114000043,06,08,10,21,26
2025-02-14114000042,11,17,29,34,39
2025-02-13114000041,02,07,11,20,30
2025-02-12114000040,02,06,19,28,29
2025-02-11114000039,10,18,19,27,28
2025-02-10114000038,12,22,26,28,35
2025-02-09114000037,04,05,27,35,37
2025-02-08114000036,08,24,28,37,38
2025-02-07114000035,16,21,26,29,37
2025-02-06114000034,03,07,22,29,34
2025-02-05114000033,06,07,08,14,39
2025-02-04114000032,01,08,16,19,31
2025-02-03114000031,04,16,21,23,37
2025-02-02114000030,09,16,29,32,39
2025-02-01114000029,01,10,23,32,37
2025-01-31114000028,01,05,09,14,26
2025-01-30114000027,09,11,14,18,27
2025-01-29114000026,04,11,25,31,32
2025-01-28114000025,13,22,23,24,35
2025-01-27114000024,01,06,16,26,31
2025-01-26114000023,07,08,09,17,20
2025-01-25114000022,01,07,32,36,37
2025-01-24114000021,05,09,12,14,31
2025-01-23114000020,04,07,17,22,35
2025-01-22114000019,06,19,23,26,30
2025-01-21114000018,01,14,18,19,22
2025-01-20114000017,03,12,19,32,34
2025-01-18114000016,07,12,18,35,39
2025-01-17114000015,04,07,08,24,26
2025-01-16114000014,09,13,23,29,34
2025-01-15114000013,03,21,22,26,39
2025-01-14114000012,10,22,31,35,36
2025-01-13114000011,04,12,28,35,38
2025-01-11114000010,05,12,13,19,34
2025-01-10114000009,09,11,15,18,20
2025-01-09114000008,02,08,19,21,29
2025-01-08114000007,12,18,20,24,31
2025-01-07114000006,13,23,27,31,37
2025-01-06114000005,07,21,22,27,35
2025-01-04114000004,08,09,12,21,23
2025-01-03114000003,05,06,08,11,14
2025-01-02114000002,12,26,30,32,33
2025-01-01114000001,02,07,08,10,14
2024-12-31113000314,11,15,32,33,34
2024-12-30113000313,03,20,23,27,31
2024-12-28113000312,17,18,24,26,30
2024-12-27113000311,07,15,19,20,38
2024-12-26113000310,05,07,12,20,38
2024-12-25113000309,06,18,21,29,38
2024-12-24113000308,01,14,15,28,39
2024-12-23113000307,02,06,13,18,22
2024-12-21113000306,12,13,14,18,32
2024-12-20113000305,03,09,16,19,26
2024-12-19113000304,07,08,11,27,33
2024-12-18113000303,03,24,27,33,37
2024-12-17113000302,03,05,07,16,31
2024-12-16113000301,05,11,21,23,26
2024-12-14113000300,03,07,08,12,35
2024-12-13113000299,02,09,20,34,38
2024-12-12113000298,02,11,16,23,29
2024-12-11113000297,04,22,32,34,37
2024-12-10113000296,07,12,13,21,24
2024-12-09113000295,08,09,20,28,32
2024-12-07113000294,06,24,31,32,33
2024-12-06113000293,02,15,20,33,38
2024-12-05113000292,05,19,23,28,39
2024-12-04113000291,12,27,33,35,38
2024-12-03113000290,07,12,15,16,18
2024-12-02113000289,05,13,23,29,38
2024-11-30113000288,04,11,16,17,24
2024-11-29113000287,03,11,18,25,35
2024-11-28113000286,05,09,20,29,34
2024-11-27113000285,07,13,14,21,35
2024-11-26113000284,01,05,11,27,29
2024-11-25113000283,03,06,19,20,38
2024-11-23113000282,03,13,28,29,38
2024-11-22113000281,03,07,08,17,30
2024-11-21113000280,04,12,13,23,25
2024-11-20113000279,13,20,30,31,33
2024-11-19113000278,10,14,21,32,33
2024-11-18113000277,03,05,23,26,27
2024-11-16113000276,04,24,29,33,37
2024-11-15113000275,02,18,27,29,39
2024-11-14113000274,05,11,17,25,30
2024-11-13113000273,03,11,18,21,35
2024-11-12113000272,05,08,17,24,28
2024-11-11113000271,07,14,20,24,26
2024-11-09113000270,02,03,10,21,36
2024-11-08113000269,01,09,13,31,32
2024-11-07113000268,06,10,20,25,32
2024-11-06113000267,06,11,14,18,22
2024-11-05113000266,01,08,18,27,30
2024-11-04113000265,03,07,10,26,35
2024-11-02113000264,06,07,16,37,38
2024-11-01113000263,04,08,11,19,31
2024-10-31113000262,08,13,25,36,38
2024-10-30113000261,10,11,17,24,33
2024-10-29113000260,09,12,25,29,35
2024-10-28113000259,01,06,13,22,39
2024-10-26113000258,13,15,18,26,28
2024-10-25113000257,06,08,15,28,39
2024-10-24113000256,01,04,08,20,22
2024-10-23113000255,10,18,19,26,37
2024-10-22113000254,07,16,25,32,34
2024-10-21113000253,01,09,17,31,35
2024-10-19113000252,11,15,24,36,37
2024-10-18113000251,04,11,26,34,38
2024-10-17113000250,01,18,21,36,37
2024-10-16113000249,15,20,27,30,31
2024-10-15113000248,02,19,27,33,35
2024-10-14113000247,04,14,19,25,32
2024-10-12113000246,14,21,22,23,35
2024-10-11113000245,14,15,16,24,29
2024-10-10113000244,03,25,29,35,38
2024-10-09113000243,12,17,25,31,34
2024-10-08113000242,01,11,13,25,37
2024-10-07113000241,02,10,17,21,39
2024-10-05113000240,02,05,08,14,32
2024-10-04113000239,05,11,27,38,39
2024-10-03113000238,01,06,15,19,39
2024-10-02113000237,07,08,13,22,34
2024-10-01113000236,20,23,30,31,35
2024-09-30113000235,07,10,24,27,31
2024-09-28113000234,10,20,24,35,39
2024-09-27113000233,03,27,34,37,39
2024-09-26113000232,04,06,14,16,20
2024-09-25113000231,02,05,10,12,37
2024-09-24113000230,04,10,19,30,31
2024-09-23113000229,04,12,14,17,35
